Titulo;Categoria;Descripcion;Imagen;Email;Telefono
"Don  Numas  Posada";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/cLsgwT8/Don-Numas-Posada.webp";"";""
"Hotel  La Linda";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/TR2wddf/Hotel-La-linda.webp";"";""
"Mirador Del Cerro";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/wB31YX9/Mirador-del-cerro.webp";"";""
"Hotel Plaza De Las Aljabas";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/GRPQMyT/Hotel-plaza-de-las-aljabas.webp";"";""
"Hotel Bo";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/F3tgkwf/Hotel-bo.webp";"";""
"Hotel Termas Rosario De La Frontera";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/J5pBYPw/Hotel-termas-rosario-de-la-frontera.webp";"";""
"Caba As Tia Moca";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/WFgvFT2/Caba-as-tia-moca.webp";"";""
"Caba As Del Portal";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/r4M1T5K/Caba-as-del-portal.webp";"";""
"Hotel Terrazas Del Lago";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/F681WK4/Hotel-terrazas-del-lago.webp";"";""
"Hostal  Finca Las  Margaritas";"Salta";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/4Fy6Lq3/Hostal-Finca-las-Margaritas.webp";"";""
"Amber Salta";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/AmberSalta.png";"";""
"Catalina Bliss";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/CatalinaBliss.png";"";""
"Estetica Gral";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/EsteticaGral.png";"";""
"Figurella";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/Figurella.png";"";""
"Hotel Provincial";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/HotelProvincial.png";"";""
"Kadabra";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/Kadabra.png";"";""
"La Mascotera Sal";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/LaMascoteraSal.png";"";""
"Pitagoras Sal";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/PitagorasSal.png";"";""
"Shinee Sal";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/ShineeSal.png";"";""
"Tuluka Sal";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/TulukaSal.png";"";""
"Uñas Vip";"Salta";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Salta/U%C3%B1asVip.png";"";""
"Altos Del Vi A";"Jujuy";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/2d2DKhd/Altos-del-vi-a.webp";"";""
"Hotel  Alvear";"Jujuy";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/b3nVgwq/Hotel-Alvear.webp";"";""
"La Posada Del Rio";"Jujuy";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/HKh5VwS/La-posada-del-rio.webp";"";""
"Hostal De Altura";"Jujuy";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/FwzBFHm/Hostal-de-altura.webp";"";""
"Belha Jujuy";"Jujuy";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Jujuy/BelhaJujuy.png";"";""
"La Mascotera Jujuy";"Jujuy";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Jujuy/LaMascoteraJujuy.png";"";""
"Ohasis";"Jujuy";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Jujuy/Ohasis.png";"";""
"Optica Arena";"Jujuy";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Jujuy/OpticaArena.png";"";""
"Hotel Colonial";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/BGr4F84/Hotel-colonial.webp";"";""
"Los Carolinos";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/9HJKfzd/Los-carolinos.webp";"";""
"Bicentenario";"Santiago del Estero";"Beneficio exclusivo para afiliados.";"https://i.ibb.co/mHGgf3R/Bicentenario.webp";"";""
"Atlas Tuc";"Tucumán";"Beneficio exclusivo para afiliados.";"https://aefipnoroeste.org.ar/images/Convenios/Tucuman/AtlasTuc.png";"";""
